"IDENTIF","RIVER","LOCATION","ERECTED","PURPOSE","LENGTH","LANES","CLEAR-G","T-OR-D","MATERIAL","SPAN","REL-L","binaryClass"
E1,M,3,1818,HIGHWAY,1340,2,N,THROUGH,WOOD,SHORT,S,N
E2,A,25,1819,HIGHWAY,1037,2,N,THROUGH,WOOD,SHORT,S,N
E3,A,39,1829,AQUEDUCT,1550,1,N,THROUGH,WOOD,SHORT,S,N
E5,A,29,1837,HIGHWAY,1000,2,N,THROUGH,WOOD,SHORT,S,N
E6,M,23,1838,HIGHWAY,1345,2,N,THROUGH,WOOD,MEDIUM,S,N
E7,A,27,1840,HIGHWAY,990,2,N,THROUGH,WOOD,MEDIUM,S,N
E8,A,28,1844,AQUEDUCT,1000,1,N,THROUGH,IRON,SHORT,S,N
E9,M,3,1846,HIGHWAY,1500,2,N,THROUGH,IRON,SHORT,S,N
E10,A,39,1848,AQUEDUCT,2345,1,N,DECK,WOOD,SHORT,S,N
E11,A,29,1851,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,S,N
E12,A,39,1853,RR,1234,2,N,DECK,WOOD,LONG,S,N
E14,M,6,1856,HIGHWAY,1200,2,N,THROUGH,WOOD,MEDIUM,S,N
E13,A,33,1856,HIGHWAY,1457,2,N,THROUGH,WOOD,LONG,S,N
E15,A,28,1857,RR,3224,2,N,THROUGH,WOOD,SHORT,S,N
E16,A,25,1859,HIGHWAY,1030,2,N,THROUGH,IRON,MEDIUM,S-F,N
E17,M,4,1863,RR,1000,2,N,THROUGH,IRON,MEDIUM,F,P
E18,A,28,1864,RR,1200,2,N,THROUGH,IRON,SHORT,S,P
E19,A,29,1866,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,S,N
E20,A,32,1870,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,S,N
E21,M,16,1874,RR,3456,2,N,THROUGH,IRON,MEDIUM,S,P
E23,M,1,1876,HIGHWAY,1245,4,N,THROUGH,STEEL,LONG,F,N
E22,A,24,1876,HIGHWAY,1200,4,G,THROUGH,WOOD,SHORT,S,N
E24,O,45,1878,RR,2213,2,G,THROUGH,STEEL,SHORT,F,P
E25,M,10,1882,RR,1123,2,G,DECK,STEEL,MEDIUM,S,P
E27,A,39,1883,RR,1123,2,G,THROUGH,STEEL,SHORT,F,P
E26,M,12,1883,RR,1150,2,G,THROUGH,STEEL,MEDIUM,S,P
E30,A,31,1884,RR,963,2,G,THROUGH,STEEL,MEDIUM,F,P
E29,A,26,1884,HIGHWAY,1080,2,G,THROUGH,STEEL,MEDIUM,S,N
E28,M,3,1884,HIGHWAY,1000,2,G,THROUGH,STEEL,MEDIUM,S,N
E32,A,30,1887,HIGHWAY,826,2,G,THROUGH,IRON,MEDIUM,F,P
E31,M,8,1887,RR,1161,2,G,THROUGH,STEEL,MEDIUM,S,P
E34,O,41,1888,RR,4558,2,G,THROUGH,STEEL,LONG,F,P
E33,M,19,1889,HIGHWAY,1120,2,G,THROUGH,IRON,MEDIUM,F,P
E36,O,45,1890,HIGHWAY,3456,2,G,THROUGH,IRON,SHORT,F,P
E35,A,27,1890,HIGHWAY,1000,2,G,THROUGH,STEEL,MEDIUM,F,P
E38,M,17,1891,HIGHWAY,1234,2,G,THROUGH,IRON,MEDIUM,F,P
E37,M,18,1891,RR,1350,2,G,THROUGH,STEEL,MEDIUM,S,P
E39,A,25,1892,HIGHWAY,3553,2,G,THROUGH,STEEL,MEDIUM,F,P
E4,A,27,1892,AQUEDUCT,1092,1,N,THROUGH,WOOD,SHORT,S,N
E40,M,22,1893,HIGHWAY,2341,2,G,THROUGH,STEEL,MEDIUM,F,P
E41,M,11,1894,HIGHWAY,1234,2,G,THROUGH,IRON,MEDIUM,F,P
E42,M,9,1895,HIGHWAY,2367,2,G,THROUGH,STEEL,LONG,F,P
E44,O,48,1896,HIGHWAY,1123,2,G,THROUGH,STEEL,LONG,F,N
E43,M,7,1896,HIGHWAY,1040,2,G,THROUGH,STEEL,LONG,F,N
E46,A,37,1897,RR,4000,2,G,DECK,STEEL,LONG,F,P
E45,M,14,1897,RR,2264,1,G,THROUGH,STEEL,MEDIUM,F,P
E47,M,15,1898,RR,2000,2,G,THROUGH,STEEL,MEDIUM,S,P
E58,A,33,1900,HIGHWAY,1200,2,G,THROUGH,STEEL,MEDIUM,F,P
E48,A,38,1900,HIGHWAY,2000,2,G,THROUGH,STEEL,MEDIUM,F,P
E94,M,13,1901,RR,1202,2,G,THROUGH,STEEL,LONG,F,P
E49,A,34,1902,HIGHWAY,1850,2,G,THROUGH,STEEL,MEDIUM,F,N
E95,M,16,1903,RR,1300,2,G,THROUGH,STEEL,MEDIUM,S,P
E87,A,35,1903,RR,3000,2,G,THROUGH,STEEL,MEDIUM,S,P
E51,M,6,1903,RR,1417,2,G,THROUGH,STEEL,MEDIUM,F,P
E50,M,21,1903,RR,1154,2,G,THROUGH,STEEL,LONG,F,P
E89,M,4,1904,RR,1200,2,G,THROUGH,STEEL,MEDIUM,S-F,P
E53,A,28,1904,RR,965,4,G,THROUGH,STEEL,MEDIUM,S-F,P
E52,M,2,1904,RR,1504,4,G,THROUGH,STEEL,LONG,F,N
E56,M,23,1909,HIGHWAY,1010,2,G,THROUGH,STEEL,MEDIUM,F,P
E55,A,36,1909,HIGHWAY,1730,2,G,THROUGH,STEEL,LONG,F,P
E57,O,49,1910,RR,1620,2,G,THROUGH,STEEL,LONG,F,N
E59,O,43,1911,HIGHWAY,1652,2,G,THROUGH,STEEL,LONG,F,N
E92,M,10,1914,RR,2210,4,G,THROUGH,STEEL,MEDIUM,F,P
E61,O,41,1915,RR,2822,2,G,THROUGH,STEEL,LONG,F,P
E60,A,24,1915,HIGHWAY,1000,4,G,THROUGH,STEEL,LONG,F,P
