make,fuel_type,aspiration,num_of_doors_num,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,num_of_cylinders_num,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
alfa-romero,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,4,130,mpfi,9,111,5000,21,27,High
alfa-romero,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,4,130,mpfi,9,111,5000,21,27,High
alfa-romero,gas,std,2,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,6,152,mpfi,9,154,5000,19,26,High
audi,gas,std,4,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,4,109,mpfi,10,102,5500,24,30,High
audi,gas,std,4,sedan,fwd,front,99.4,176.6,66.4,54.3,2824,ohc,five,5,136,mpfi,8,115,5500,18,22,High
audi,gas,std,2,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,5,136,mpfi,8.5,110,5500,19,25,High
audi,gas,std,4,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,5,136,mpfi,8.5,110,5500,19,25,High
audi,gas,std,4,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,5,136,mpfi,8.5,110,5500,19,25,High
audi,gas,turbo,4,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,5,131,mpfi,8.3,140,5500,17,20,High
audi,gas,turbo,2,hatchback,fwd,front,99.5,178.2,67.9,52,3053,ohc,five,5,131,mpfi,7,160,5500,16,22,High
bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,4,108,mpfi,8.8,101,5800,23,29,High
bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,4,108,mpfi,8.8,101,5800,23,29,High
bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,6,164,mpfi,9,121,4250,21,28,High
bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,6,164,mpfi,9,121,4250,21,28,High
bmw,gas,std,4,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,six,6,164,mpfi,9,121,4250,20,25,High
bmw,gas,std,4,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,six,6,209,mpfi,8,182,5400,16,22,High
bmw,gas,std,2,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,6,209,mpfi,8,182,5400,16,22,High
bmw,gas,std,4,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,six,6,209,mpfi,8,182,5400,15,20,High
chevrolet,gas,std,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,3,61,2bbl,9.5,48,5100,47,53,Low
chevrolet,gas,std,2,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,4,90,2bbl,9.6,70,5400,38,43,Low
chevrolet,gas,std,4,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,4,90,2bbl,9.6,70,5400,38,43,Low
dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,4,90,2bbl,9.41,68,5500,37,41,Low
dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,4,90,2bbl,9.4,68,5500,31,38,Low
dodge,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,4,98,mpfi,7.6,102,5500,24,30,Low
dodge,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,4,90,2bbl,9.4,68,5500,31,38,Low
dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,4,90,2bbl,9.4,68,5500,31,38,Low
dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,4,90,2bbl,9.4,68,5500,31,38,Low
dodge,gas,turbo,4,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,4,98,mpfi,7.6,102,5500,24,30,Low
dodge,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,4,122,2bbl,8.5,88,5000,24,30,Low
dodge,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,4,156,mfi,7,145,5000,19,24,High
honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,4,92,1bbl,9.6,58,4800,49,54,Low
honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,4,92,1bbl,9.2,76,6000,31,38,Low
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,four,4,79,1bbl,10.1,60,5500,38,42,Low
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,four,4,92,1bbl,9.2,76,6000,30,34,Low
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,four,4,92,1bbl,9.2,76,6000,30,34,Low
honda,gas,std,4,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,four,4,92,1bbl,9.2,76,6000,30,34,Low
honda,gas,std,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,4,92,1bbl,9.2,76,6000,30,34,Low
honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,4,110,1bbl,9,86,5800,27,33,Low
