,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score,nuuniquevalues
0,heart,exang,Nominal,BinaryEncoder,BinaryEncoder,0.74,2.0
1,heart,exang,Nominal,BinaryEncoder,JamesSteinEncoder,0.74,2.0
2,heart,exang,Nominal,BinaryEncoder,SumEncoder,0.74,2.0
3,heart,exang,Nominal,BinaryEncoder,HashingEncoder,0.74,2.0
4,heart,exang,Nominal,BinaryEncoder,LabelEncoder,0.74,2.0
5,heart,exang,Nominal,BinaryEncoder,TargetEncoder,0.74,2.0
6,heart,exang,Nominal,BinaryEncoder,HelmertEncoder,0.74,2.0
7,heart,exang,Nominal,BinaryEncoder,FrequencyEncoder,0.75,2.0
8,heart,exang,Nominal,BinaryEncoder,BaseNEncoder,0.74,2.0
9,heart,exang,Nominal,BinaryEncoder,OneHotEncoder,0.74,2.0
10,heart,exang,Nominal,JamesSteinEncoder,BinaryEncoder,0.74,2.0
11,heart,exang,Nominal,JamesSteinEncoder,JamesSteinEncoder,0.74,2.0
12,heart,exang,Nominal,JamesSteinEncoder,SumEncoder,0.74,2.0
13,heart,exang,Nominal,JamesSteinEncoder,HashingEncoder,0.74,2.0
14,heart,exang,Nominal,JamesSteinEncoder,LabelEncoder,0.74,2.0
15,heart,exang,Nominal,JamesSteinEncoder,TargetEncoder,0.74,2.0
16,heart,exang,Nominal,JamesSteinEncoder,HelmertEncoder,0.74,2.0
17,heart,exang,Nominal,JamesSteinEncoder,FrequencyEncoder,0.75,2.0
18,heart,exang,Nominal,JamesSteinEncoder,BaseNEncoder,0.74,2.0
19,heart,exang,Nominal,JamesSteinEncoder,OneHotEncoder,0.74,2.0
20,heart,exang,Nominal,SumEncoder,BinaryEncoder,0.74,2.0
21,heart,exang,Nominal,SumEncoder,JamesSteinEncoder,0.74,2.0
22,heart,exang,Nominal,SumEncoder,SumEncoder,0.74,2.0
23,heart,exang,Nominal,SumEncoder,HashingEncoder,0.74,2.0
24,heart,exang,Nominal,SumEncoder,LabelEncoder,0.74,2.0
25,heart,exang,Nominal,SumEncoder,TargetEncoder,0.74,2.0
26,heart,exang,Nominal,SumEncoder,HelmertEncoder,0.74,2.0
27,heart,exang,Nominal,SumEncoder,FrequencyEncoder,0.75,2.0
28,heart,exang,Nominal,SumEncoder,BaseNEncoder,0.74,2.0
29,heart,exang,Nominal,SumEncoder,OneHotEncoder,0.74,2.0
30,heart,exang,Nominal,HashingEncoder,BinaryEncoder,0.74,2.0
31,heart,exang,Nominal,HashingEncoder,JamesSteinEncoder,0.74,2.0
32,heart,exang,Nominal,HashingEncoder,SumEncoder,0.74,2.0
33,heart,exang,Nominal,HashingEncoder,HashingEncoder,0.74,2.0
34,heart,exang,Nominal,HashingEncoder,LabelEncoder,0.74,2.0
35,heart,exang,Nominal,HashingEncoder,TargetEncoder,0.74,2.0
36,heart,exang,Nominal,HashingEncoder,HelmertEncoder,0.74,2.0
37,heart,exang,Nominal,HashingEncoder,FrequencyEncoder,0.75,2.0
38,heart,exang,Nominal,HashingEncoder,BaseNEncoder,0.74,2.0
39,heart,exang,Nominal,HashingEncoder,OneHotEncoder,0.74,2.0
40,heart,exang,Nominal,LabelEncoder,BinaryEncoder,0.74,2.0
41,heart,exang,Nominal,LabelEncoder,JamesSteinEncoder,0.74,2.0
42,heart,exang,Nominal,LabelEncoder,SumEncoder,0.74,2.0
43,heart,exang,Nominal,LabelEncoder,HashingEncoder,0.74,2.0
44,heart,exang,Nominal,LabelEncoder,LabelEncoder,0.74,2.0
45,heart,exang,Nominal,LabelEncoder,TargetEncoder,0.74,2.0
46,heart,exang,Nominal,LabelEncoder,HelmertEncoder,0.74,2.0
47,heart,exang,Nominal,LabelEncoder,FrequencyEncoder,0.75,2.0
48,heart,exang,Nominal,LabelEncoder,BaseNEncoder,0.74,2.0
49,heart,exang,Nominal,LabelEncoder,OneHotEncoder,0.74,2.0
50,heart,exang,Nominal,TargetEncoder,BinaryEncoder,0.74,2.0
51,heart,exang,Nominal,TargetEncoder,JamesSteinEncoder,0.74,2.0
52,heart,exang,Nominal,TargetEncoder,SumEncoder,0.74,2.0
53,heart,exang,Nominal,TargetEncoder,HashingEncoder,0.74,2.0
54,heart,exang,Nominal,TargetEncoder,LabelEncoder,0.74,2.0
55,heart,exang,Nominal,TargetEncoder,TargetEncoder,0.74,2.0
56,heart,exang,Nominal,TargetEncoder,HelmertEncoder,0.74,2.0
57,heart,exang,Nominal,TargetEncoder,FrequencyEncoder,0.75,2.0
58,heart,exang,Nominal,TargetEncoder,BaseNEncoder,0.74,2.0
59,heart,exang,Nominal,TargetEncoder,OneHotEncoder,0.74,2.0
60,heart,exang,Nominal,HelmertEncoder,BinaryEncoder,0.74,2.0
61,heart,exang,Nominal,HelmertEncoder,JamesSteinEncoder,0.74,2.0
62,heart,exang,Nominal,HelmertEncoder,SumEncoder,0.74,2.0
63,heart,exang,Nominal,HelmertEncoder,HashingEncoder,0.74,2.0
64,heart,exang,Nominal,HelmertEncoder,LabelEncoder,0.74,2.0
65,heart,exang,Nominal,HelmertEncoder,TargetEncoder,0.74,2.0
66,heart,exang,Nominal,HelmertEncoder,HelmertEncoder,0.74,2.0
67,heart,exang,Nominal,HelmertEncoder,FrequencyEncoder,0.75,2.0
68,heart,exang,Nominal,HelmertEncoder,BaseNEncoder,0.74,2.0
69,heart,exang,Nominal,HelmertEncoder,OneHotEncoder,0.74,2.0
70,heart,exang,Nominal,FrequencyEncoder,BinaryEncoder,0.74,2.0
71,heart,exang,Nominal,FrequencyEncoder,JamesSteinEncoder,0.74,2.0
72,heart,exang,Nominal,FrequencyEncoder,SumEncoder,0.74,2.0
73,heart,exang,Nominal,FrequencyEncoder,HashingEncoder,0.74,2.0
74,heart,exang,Nominal,FrequencyEncoder,LabelEncoder,0.74,2.0
75,heart,exang,Nominal,FrequencyEncoder,TargetEncoder,0.74,2.0
76,heart,exang,Nominal,FrequencyEncoder,HelmertEncoder,0.74,2.0
77,heart,exang,Nominal,FrequencyEncoder,FrequencyEncoder,0.74,2.0
78,heart,exang,Nominal,FrequencyEncoder,BaseNEncoder,0.74,2.0
79,heart,exang,Nominal,FrequencyEncoder,OneHotEncoder,0.74,2.0
80,heart,exang,Nominal,BaseNEncoder,BinaryEncoder,0.74,2.0
81,heart,exang,Nominal,BaseNEncoder,JamesSteinEncoder,0.74,2.0
82,heart,exang,Nominal,BaseNEncoder,SumEncoder,0.74,2.0
83,heart,exang,Nominal,BaseNEncoder,HashingEncoder,0.74,2.0
84,heart,exang,Nominal,BaseNEncoder,LabelEncoder,0.74,2.0
85,heart,exang,Nominal,BaseNEncoder,TargetEncoder,0.74,2.0
86,heart,exang,Nominal,BaseNEncoder,HelmertEncoder,0.74,2.0
87,heart,exang,Nominal,BaseNEncoder,FrequencyEncoder,0.75,2.0
88,heart,exang,Nominal,BaseNEncoder,BaseNEncoder,0.74,2.0
89,heart,exang,Nominal,BaseNEncoder,OneHotEncoder,0.74,2.0
90,heart,exang,Nominal,OneHotEncoder,BinaryEncoder,0.74,2.0
91,heart,exang,Nominal,OneHotEncoder,JamesSteinEncoder,0.74,2.0
92,heart,exang,Nominal,OneHotEncoder,SumEncoder,0.74,2.0
93,heart,exang,Nominal,OneHotEncoder,HashingEncoder,0.74,2.0
94,heart,exang,Nominal,OneHotEncoder,LabelEncoder,0.74,2.0
95,heart,exang,Nominal,OneHotEncoder,TargetEncoder,0.74,2.0
96,heart,exang,Nominal,OneHotEncoder,HelmertEncoder,0.74,2.0
97,heart,exang,Nominal,OneHotEncoder,FrequencyEncoder,0.75,2.0
98,heart,exang,Nominal,OneHotEncoder,BaseNEncoder,0.74,2.0
99,heart,exang,Nominal,OneHotEncoder,OneHotEncoder,0.74,2.0
100,heart,sex,Nominal,BinaryEncoder,BinaryEncoder,0.74,2.0
