,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Cardinality,Score,Roc_auc_score
0,Adult,education-num,Ordinal,LabelEncoder,LabelEncoder,16,0.7995845617796837,0.735394471530035
1,Adult,education-num,Ordinal,LabelEncoder,OneHotEncoder,16,0.805481104261592,0.7445847628506079
2,Adult,education-num,Ordinal,LabelEncoder,TargetEncoder,16,0.8110426159206647,0.7496432476626138
3,Adult,education-num,Ordinal,LabelEncoder,HelmertEncoder,16,0.8052800857678907,0.7461785492155211
4,Adult,education-num,Ordinal,LabelEncoder,BinaryEncoder,16,0.8032028946663093,0.7398893001885959
5,Adult,education-num,Ordinal,LabelEncoder,SumEncoder,16,0.8084963816671134,0.747769827655391
6,Adult,education-num,Ordinal,LabelEncoder,JamesSteinEncoder,16,0.8111096220852319,0.7496877633321295
7,Adult,education-num,Ordinal,LabelEncoder,HashingEncoder,16,0.7913428035379255,0.7252825177561093
8,Adult,education-num,Ordinal,LabelEncoder,BaseNEncoder,16,0.8032028946663093,0.7398893001885959
9,Adult,education-num,Ordinal,LabelEncoder,FrequencyEncoder,16,0.8075582953631734,0.7465102223024758
10,Adult,education-num,Ordinal,OneHotEncoder,LabelEncoder,16,0.7995845617796837,0.735394471530035
11,Adult,education-num,Ordinal,OneHotEncoder,OneHotEncoder,16,0.805481104261592,0.7445847628506079
12,Adult,education-num,Ordinal,OneHotEncoder,TargetEncoder,16,0.8110426159206647,0.7496432476626138
13,Adult,education-num,Ordinal,OneHotEncoder,HelmertEncoder,16,0.8052800857678907,0.7461785492155211
14,Adult,education-num,Ordinal,OneHotEncoder,BinaryEncoder,16,0.8032028946663093,0.7398893001885959
15,Adult,education-num,Ordinal,OneHotEncoder,SumEncoder,16,0.8084963816671134,0.747769827655391
16,Adult,education-num,Ordinal,OneHotEncoder,JamesSteinEncoder,16,0.8111096220852319,0.7496877633321295
17,Adult,education-num,Ordinal,OneHotEncoder,HashingEncoder,16,0.7913428035379255,0.7252825177561093
18,Adult,education-num,Ordinal,OneHotEncoder,BaseNEncoder,16,0.8032028946663093,0.7398893001885959
