,DataSetName,NominalEncoder,OrdinalEncoder,Score,Roc_auc_score
0,Car,BinaryEncoder,BinaryEncoder,0.8507462686567164,0.8464285714285714
1,Car,BinaryEncoder,HelmertEncoder,0.8507462686567164,0.8464285714285714
2,Car,BinaryEncoder,LabelEncoder,0.8507462686567164,0.8464285714285714
3,Car,BinaryEncoder,JamesSteinEncoder,0.8507462686567164,0.8464285714285714
4,Car,BinaryEncoder,BaseNEncoder,0.8507462686567164,0.8464285714285714
5,Car,BinaryEncoder,HashingEncoder,0.8507462686567164,0.8464285714285714
6,Car,BinaryEncoder,SumEncoder,0.8507462686567164,0.8464285714285714
7,Car,BinaryEncoder,OneHotEncoder,0.8507462686567164,0.8464285714285714
8,Car,BinaryEncoder,FrequencyEncoder,0.8507462686567164,0.8464285714285714
9,Car,BinaryEncoder,TargetEncoder,0.8507462686567164,0.8464285714285714
10,Car,HelmertEncoder,BinaryEncoder,0.8656716417910447,0.8620535714285714
11,Car,HelmertEncoder,HelmertEncoder,0.8656716417910447,0.8620535714285714
12,Car,HelmertEncoder,LabelEncoder,0.8656716417910447,0.8620535714285714
13,Car,HelmertEncoder,JamesSteinEncoder,0.8656716417910447,0.8620535714285714
14,Car,HelmertEncoder,BaseNEncoder,0.8656716417910447,0.8620535714285714
15,Car,HelmertEncoder,HashingEncoder,0.8656716417910447,0.8620535714285714
16,Car,HelmertEncoder,SumEncoder,0.8656716417910447,0.8620535714285714
17,Car,HelmertEncoder,OneHotEncoder,0.8656716417910447,0.8620535714285714
18,Car,HelmertEncoder,FrequencyEncoder,0.8656716417910447,0.8620535714285714
19,Car,HelmertEncoder,TargetEncoder,0.8656716417910447,0.8620535714285714
20,Car,LabelEncoder,BinaryEncoder,0.8208955223880597,0.8151785714285714
21,Car,LabelEncoder,HelmertEncoder,0.8208955223880597,0.8151785714285714
22,Car,LabelEncoder,LabelEncoder,0.8208955223880597,0.8151785714285714
23,Car,LabelEncoder,JamesSteinEncoder,0.8208955223880597,0.8151785714285714
24,Car,LabelEncoder,BaseNEncoder,0.8208955223880597,0.8151785714285714
25,Car,LabelEncoder,HashingEncoder,0.8208955223880597,0.8151785714285714
26,Car,LabelEncoder,SumEncoder,0.8208955223880597,0.8151785714285714
27,Car,LabelEncoder,OneHotEncoder,0.8208955223880597,0.8151785714285714
28,Car,LabelEncoder,FrequencyEncoder,0.8208955223880597,0.8151785714285714
29,Car,LabelEncoder,TargetEncoder,0.8208955223880597,0.8151785714285714
30,Car,JamesSteinEncoder,BinaryEncoder,0.8507462686567164,0.8464285714285714
31,Car,JamesSteinEncoder,HelmertEncoder,0.8507462686567164,0.8464285714285714
32,Car,JamesSteinEncoder,LabelEncoder,0.8507462686567164,0.8464285714285714
33,Car,JamesSteinEncoder,JamesSteinEncoder,0.8507462686567164,0.8464285714285714
34,Car,JamesSteinEncoder,BaseNEncoder,0.8507462686567164,0.8464285714285714
35,Car,JamesSteinEncoder,HashingEncoder,0.8507462686567164,0.8464285714285714
36,Car,JamesSteinEncoder,SumEncoder,0.8507462686567164,0.8464285714285714
37,Car,JamesSteinEncoder,OneHotEncoder,0.8507462686567164,0.8464285714285714
38,Car,JamesSteinEncoder,FrequencyEncoder,0.8507462686567164,0.8464285714285714
39,Car,JamesSteinEncoder,TargetEncoder,0.8507462686567164,0.8464285714285714
40,Car,BaseNEncoder,BinaryEncoder,0.8507462686567164,0.8464285714285714
41,Car,BaseNEncoder,HelmertEncoder,0.8507462686567164,0.8464285714285714
42,Car,BaseNEncoder,LabelEncoder,0.8507462686567164,0.8464285714285714
43,Car,BaseNEncoder,JamesSteinEncoder,0.8507462686567164,0.8464285714285714
