,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Cardinality,Score,Roc_auc_score
0,Bridges,PURPOSE,Nominal,SumEncoder,,4,0.8285714285714286,0.0
1,Bridges,PURPOSE,Nominal,BinaryEncoder,,4,0.8285714285714286,0.0
2,Bridges,PURPOSE,Nominal,HelmertEncoder,,4,0.8285714285714286,0.0
3,Bridges,PURPOSE,Nominal,LabelEncoder,,4,0.8,0.0
4,Bridges,PURPOSE,Nominal,JamesSteinEncoder,,4,0.8285714285714286,0.0
5,Bridges,PURPOSE,Nominal,FrequencyEncoder,,4,0.8285714285714286,0.0
6,Bridges,PURPOSE,Nominal,BaseNEncoder,,4,0.8285714285714286,0.0
7,Bridges,PURPOSE,Nominal,HashingEncoder,,4,0.8285714285714286,0.0
8,Bridges,PURPOSE,Nominal,TargetEncoder,,4,0.8285714285714286,0.0
9,Bridges,PURPOSE,Nominal,OneHotEncoder,,4,0.8285714285714286,0.0
10,Bridges,IDENTIF,Nominal,SumEncoder,,106,0.5714285714285714,0.0
11,Bridges,IDENTIF,Nominal,BinaryEncoder,,106,0.6857142857142857,0.0
12,Bridges,IDENTIF,Nominal,HelmertEncoder,,106,0.8857142857142857,0.0
13,Bridges,IDENTIF,Nominal,LabelEncoder,,106,0.7142857142857143,0.0
14,Bridges,IDENTIF,Nominal,JamesSteinEncoder,,106,0.5714285714285714,0.0
15,Bridges,IDENTIF,Nominal,FrequencyEncoder,,106,0.5714285714285714,0.0
16,Bridges,IDENTIF,Nominal,BaseNEncoder,,106,0.6857142857142857,0.0
17,Bridges,IDENTIF,Nominal,HashingEncoder,,106,0.5714285714285714,0.0
18,Bridges,IDENTIF,Nominal,TargetEncoder,,106,0.5714285714285714,0.0
19,Bridges,IDENTIF,Nominal,OneHotEncoder,,106,0.5714285714285714,0.0
20,Bridges,CLEAR-G,Nominal,SumEncoder,,2,0.5714285714285714,0.0
21,Bridges,CLEAR-G,Nominal,BinaryEncoder,,2,0.5714285714285714,0.0
22,Bridges,CLEAR-G,Nominal,HelmertEncoder,,2,0.5714285714285714,0.0
23,Bridges,CLEAR-G,Nominal,LabelEncoder,,2,0.5714285714285714,0.0
24,Bridges,CLEAR-G,Nominal,JamesSteinEncoder,,2,0.5714285714285714,0.0
25,Bridges,CLEAR-G,Nominal,FrequencyEncoder,,2,0.5714285714285714,0.0
26,Bridges,CLEAR-G,Nominal,BaseNEncoder,,2,0.5714285714285714,0.0
27,Bridges,CLEAR-G,Nominal,HashingEncoder,,2,0.5714285714285714,0.0
28,Bridges,CLEAR-G,Nominal,TargetEncoder,,2,0.5714285714285714,0.0
29,Bridges,CLEAR-G,Nominal,OneHotEncoder,,2,0.5714285714285714,0.0
30,Bridges,SPAN,Ordinal,SumEncoder,,3,0.5714285714285714,0.0
31,Bridges,SPAN,Ordinal,BinaryEncoder,,3,0.5714285714285714,0.0
32,Bridges,SPAN,Ordinal,HelmertEncoder,,3,0.5714285714285714,0.0
33,Bridges,SPAN,Ordinal,LabelEncoder,,3,0.5714285714285714,0.0
34,Bridges,SPAN,Ordinal,JamesSteinEncoder,,3,0.5714285714285714,0.0
35,Bridges,SPAN,Ordinal,FrequencyEncoder,,3,0.5714285714285714,0.0
36,Bridges,SPAN,Ordinal,BaseNEncoder,,3,0.5714285714285714,0.0
37,Bridges,SPAN,Ordinal,HashingEncoder,,3,0.5714285714285714,0.0
38,Bridges,SPAN,Ordinal,TargetEncoder,,3,0.5714285714285714,0.0
39,Bridges,SPAN,Ordinal,OneHotEncoder,,3,0.5714285714285714,0.0
