,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score
0,titanic,Embarked,Nominal,HashingEncoder,HashingEncoder,0.6983050847457627
1,titanic,Embarked,Nominal,HashingEncoder,LabelEncoder,0.8067796610169492
2,titanic,Embarked,Nominal,HashingEncoder,OneHotEncoder,0.8271186440677966
3,titanic,Embarked,Nominal,HashingEncoder,BinaryEncoder,0.823728813559322
4,titanic,Embarked,Nominal,HashingEncoder,FrequencyEncoder,0.8
5,titanic,Embarked,Nominal,LabelEncoder,HashingEncoder,0.7084745762711865
6,titanic,Embarked,Nominal,LabelEncoder,LabelEncoder,0.8101694915254237
7,titanic,Embarked,Nominal,LabelEncoder,OneHotEncoder,0.8203389830508474
8,titanic,Embarked,Nominal,LabelEncoder,BinaryEncoder,0.8203389830508474
9,titanic,Embarked,Nominal,LabelEncoder,FrequencyEncoder,0.8169491525423729
10,titanic,Embarked,Nominal,OneHotEncoder,HashingEncoder,0.7016949152542373
11,titanic,Embarked,Nominal,OneHotEncoder,LabelEncoder,0.8033898305084746
12,titanic,Embarked,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
13,titanic,Embarked,Nominal,OneHotEncoder,BinaryEncoder,0.8169491525423729
14,titanic,Embarked,Nominal,OneHotEncoder,FrequencyEncoder,0.8169491525423729
15,titanic,Embarked,Nominal,BinaryEncoder,HashingEncoder,0.7016949152542373
16,titanic,Embarked,Nominal,BinaryEncoder,LabelEncoder,0.8
17,titanic,Embarked,Nominal,BinaryEncoder,OneHotEncoder,0.8305084745762712
18,titanic,Embarked,Nominal,BinaryEncoder,BinaryEncoder,0.823728813559322
19,titanic,Embarked,Nominal,BinaryEncoder,FrequencyEncoder,0.8135593220338984
20,titanic,Embarked,Nominal,FrequencyEncoder,HashingEncoder,0.7050847457627119
21,titanic,Embarked,Nominal,FrequencyEncoder,LabelEncoder,0.8067796610169492
22,titanic,Embarked,Nominal,FrequencyEncoder,OneHotEncoder,0.8203389830508474
23,titanic,Embarked,Nominal,FrequencyEncoder,BinaryEncoder,0.8169491525423729
24,titanic,Embarked,Nominal,FrequencyEncoder,FrequencyEncoder,0.8135593220338984
25,titanic,Ticket,Nominal,HashingEncoder,HashingEncoder,0.6813559322033899
26,titanic,Ticket,Nominal,HashingEncoder,LabelEncoder,0.8067796610169492
27,titanic,Ticket,Nominal,HashingEncoder,OneHotEncoder,0.8101694915254237
28,titanic,Ticket,Nominal,HashingEncoder,BinaryEncoder,0.8101694915254237
29,titanic,Ticket,Nominal,HashingEncoder,FrequencyEncoder,0.7898305084745763
30,titanic,Ticket,Nominal,LabelEncoder,HashingEncoder,0.6983050847457627
31,titanic,Ticket,Nominal,LabelEncoder,LabelEncoder,0.8101694915254237
32,titanic,Ticket,Nominal,LabelEncoder,OneHotEncoder,0.8169491525423729
