,DataSetName,NominalEncoder,OrdinalEncoder,Score
0,heart,JamesSteinEncoder,JamesSteinEncoder,0.74
1,heart,JamesSteinEncoder,BaseNEncoder,0.74
2,heart,JamesSteinEncoder,HelmertEncoder,0.74
3,heart,JamesSteinEncoder,SumEncoder,0.74
4,heart,JamesSteinEncoder,OneHotEncoder,0.74
5,heart,JamesSteinEncoder,LabelEncoder,0.74
6,heart,JamesSteinEncoder,BinaryEncoder,0.74
7,heart,JamesSteinEncoder,FrequencyEncoder,0.75
8,heart,JamesSteinEncoder,TargetEncoder,0.74
9,heart,JamesSteinEncoder,HashingEncoder,0.74
10,heart,BaseNEncoder,JamesSteinEncoder,0.74
11,heart,BaseNEncoder,BaseNEncoder,0.74
12,heart,BaseNEncoder,HelmertEncoder,0.74
13,heart,BaseNEncoder,SumEncoder,0.74
14,heart,BaseNEncoder,OneHotEncoder,0.74
15,heart,BaseNEncoder,LabelEncoder,0.74
16,heart,BaseNEncoder,BinaryEncoder,0.74
17,heart,BaseNEncoder,FrequencyEncoder,0.75
18,heart,BaseNEncoder,TargetEncoder,0.74
19,heart,BaseNEncoder,HashingEncoder,0.74
20,heart,HelmertEncoder,JamesSteinEncoder,0.74
21,heart,HelmertEncoder,BaseNEncoder,0.74
22,heart,HelmertEncoder,HelmertEncoder,0.74
23,heart,HelmertEncoder,SumEncoder,0.74
24,heart,HelmertEncoder,OneHotEncoder,0.74
25,heart,HelmertEncoder,LabelEncoder,0.74
26,heart,HelmertEncoder,BinaryEncoder,0.74
27,heart,HelmertEncoder,FrequencyEncoder,0.75
28,heart,HelmertEncoder,TargetEncoder,0.74
29,heart,HelmertEncoder,HashingEncoder,0.74
30,heart,SumEncoder,JamesSteinEncoder,0.74
31,heart,SumEncoder,BaseNEncoder,0.74
32,heart,SumEncoder,HelmertEncoder,0.74
33,heart,SumEncoder,SumEncoder,0.74
34,heart,SumEncoder,OneHotEncoder,0.74
35,heart,SumEncoder,LabelEncoder,0.74
36,heart,SumEncoder,BinaryEncoder,0.74
37,heart,SumEncoder,FrequencyEncoder,0.75
38,heart,SumEncoder,TargetEncoder,0.74
39,heart,SumEncoder,HashingEncoder,0.74
40,heart,OneHotEncoder,JamesSteinEncoder,0.74
41,heart,OneHotEncoder,BaseNEncoder,0.74
42,heart,OneHotEncoder,HelmertEncoder,0.74
43,heart,OneHotEncoder,SumEncoder,0.74
44,heart,OneHotEncoder,OneHotEncoder,0.74
45,heart,OneHotEncoder,LabelEncoder,0.74
46,heart,OneHotEncoder,BinaryEncoder,0.74
47,heart,OneHotEncoder,FrequencyEncoder,0.75
48,heart,OneHotEncoder,TargetEncoder,0.74
49,heart,OneHotEncoder,HashingEncoder,0.74
50,heart,LabelEncoder,JamesSteinEncoder,0.74
51,heart,LabelEncoder,BaseNEncoder,0.74
52,heart,LabelEncoder,HelmertEncoder,0.74
53,heart,LabelEncoder,SumEncoder,0.74
