,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score
0,titanic,PassengerId,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
1,titanic,PassengerId,Nominal,OneHotEncoder,BinaryEncoder,0.8305084745762712
2,titanic,PassengerId,Nominal,OneHotEncoder,HashingEncoder,0.8305084745762712
3,titanic,PassengerId,Nominal,OneHotEncoder,HelmertEncoder,0.8305084745762712
4,titanic,PassengerId,Nominal,OneHotEncoder,BaseNEncoder,0.8305084745762712
5,titanic,PassengerId,Nominal,OneHotEncoder,SumEncoder,0.8305084745762712
6,titanic,PassengerId,Nominal,OneHotEncoder,SumEncoder,0.8305084745762712
7,titanic,PassengerId,Nominal,BinaryEncoder,OneHotEncoder,0.823728813559322
8,titanic,PassengerId,Nominal,BinaryEncoder,BinaryEncoder,0.823728813559322
9,titanic,PassengerId,Nominal,BinaryEncoder,HashingEncoder,0.823728813559322
10,titanic,PassengerId,Nominal,BinaryEncoder,HelmertEncoder,0.823728813559322
11,titanic,PassengerId,Nominal,BinaryEncoder,BaseNEncoder,0.823728813559322
12,titanic,PassengerId,Nominal,BinaryEncoder,SumEncoder,0.823728813559322
13,titanic,PassengerId,Nominal,BinaryEncoder,SumEncoder,0.8305084745762712
14,titanic,PassengerId,Nominal,HashingEncoder,OneHotEncoder,0.6949152542372882
15,titanic,PassengerId,Nominal,HashingEncoder,BinaryEncoder,0.6949152542372882
16,titanic,PassengerId,Nominal,HashingEncoder,HashingEncoder,0.6949152542372882
17,titanic,PassengerId,Nominal,HashingEncoder,HelmertEncoder,0.6949152542372882
18,titanic,PassengerId,Nominal,HashingEncoder,BaseNEncoder,0.6949152542372882
19,titanic,PassengerId,Nominal,HashingEncoder,SumEncoder,0.6949152542372882
20,titanic,PassengerId,Nominal,HashingEncoder,SumEncoder,0.8305084745762712
21,titanic,PassengerId,Nominal,HelmertEncoder,OneHotEncoder,0.6644067796610169
22,titanic,PassengerId,Nominal,HelmertEncoder,BinaryEncoder,0.6644067796610169
23,titanic,PassengerId,Nominal,HelmertEncoder,HashingEncoder,0.6644067796610169
24,titanic,PassengerId,Nominal,HelmertEncoder,HelmertEncoder,0.6644067796610169
25,titanic,PassengerId,Nominal,HelmertEncoder,BaseNEncoder,0.6644067796610169
26,titanic,PassengerId,Nominal,HelmertEncoder,SumEncoder,0.6644067796610169
27,titanic,PassengerId,Nominal,HelmertEncoder,SumEncoder,0.8305084745762712
28,titanic,PassengerId,Nominal,BaseNEncoder,OneHotEncoder,0.8067796610169492
29,titanic,PassengerId,Nominal,BaseNEncoder,BinaryEncoder,0.8067796610169492
30,titanic,PassengerId,Nominal,BaseNEncoder,HashingEncoder,0.8067796610169492
31,titanic,PassengerId,Nominal,BaseNEncoder,HelmertEncoder,0.8067796610169492
32,titanic,PassengerId,Nominal,BaseNEncoder,BaseNEncoder,0.8067796610169492
33,titanic,PassengerId,Nominal,BaseNEncoder,SumEncoder,0.8067796610169492
34,titanic,PassengerId,Nominal,BaseNEncoder,SumEncoder,0.8305084745762712
35,titanic,PassengerId,Nominal,SumEncoder,OneHotEncoder,0.8305084745762712
