,DataSetName,ColumnName,ColumnType,Encoder,Score
0,titanic,PassengerId,Nominal,OneHotEncoder,0.6050420168067226
1,titanic,PassengerId,Nominal,BinaryEncoder,0.6050420168067226
2,titanic,PassengerId,Nominal,HashingEncoder,0.6050420168067226
3,titanic,Pclass,Ordinal,OneHotEncoder,0.6946778711484594
4,titanic,Pclass,Ordinal,BinaryEncoder,0.6946778711484594
5,titanic,Pclass,Ordinal,HashingEncoder,0.6946778711484594
6,titanic,Name,Nominal,OneHotEncoder,0.6050420168067226
7,titanic,Name,Nominal,BinaryEncoder,0.6050420168067226
8,titanic,Name,Nominal,HashingEncoder,0.6050420168067226
9,titanic,Sex,Nominal,OneHotEncoder,0.773109243697479
10,titanic,Sex,Nominal,BinaryEncoder,0.773109243697479
11,titanic,Sex,Nominal,HashingEncoder,0.6050420168067226
12,titanic,Age,Numerical,Numerical,0.6050420168067226
13,titanic,SibSp,Numerical,Numerical,0.6050420168067226
14,titanic,Parch,Numerical,Numerical,0.5938375350140056
15,titanic,Ticket,Nominal,OneHotEncoder,0.6050420168067226
16,titanic,Ticket,Nominal,BinaryEncoder,0.6022408963585434
17,titanic,Ticket,Nominal,HashingEncoder,0.6050420168067226
18,titanic,Fare,Numerical,Numerical,0.6750700280112045
19,titanic,Cabin,Ordinal,OneHotEncoder,0.6862745098039216
20,titanic,Cabin,Ordinal,BinaryEncoder,0.6386554621848739
21,titanic,Cabin,Ordinal,HashingEncoder,0.6666666666666666
22,titanic,Embarked,Nominal,OneHotEncoder,0.6162464985994398
23,titanic,Embarked,Nominal,BinaryEncoder,0.6162464985994398
24,titanic,Embarked,Nominal,HashingEncoder,0.6162464985994398
25,car1,buying,Nominal,OneHotEncoder,0.2995658465991317
26,car1,buying,Nominal,BinaryEncoder,0.2995658465991317
27,car1,buying,Nominal,HashingEncoder,0.3256150506512301
28,car1,maint,Ordinal,OneHotEncoder,0.30101302460202606
29,car1,maint,Ordinal,BinaryEncoder,0.3096960926193922
30,car1,maint,Ordinal,HashingEncoder,0.3068017366136035
31,car1,doors,Numerical,Numerical,0.3227206946454414
32,car1,persons,Numerical,Numerical,0.31982633863965265
33,car1,lug_boot,Ordinal,OneHotEncoder,0.30824891461649784
34,car1,lug_boot,Ordinal,BinaryEncoder,0.30824891461649784
35,car1,lug_boot,Ordinal,HashingEncoder,0.3183791606367583
36,car,make,Nominal,OneHotEncoder,0.012195121951219513
37,car,make,Nominal,BinaryEncoder,0.012195121951219513
38,car,make,Nominal,HashingEncoder,0.024390243902439025
39,car,fuel_type,Nominal,OneHotEncoder,0.0
40,car,fuel_type,Nominal,BinaryEncoder,0.0
41,car,fuel_type,Nominal,HashingEncoder,0.0
42,car,aspiration,Nominal,OneHotEncoder,0.0
43,car,aspiration,Nominal,BinaryEncoder,0.0
44,car,aspiration,Nominal,HashingEncoder,0.0
45,car,num_of_doors_num,Nominal,OneHotEncoder,0.0
46,car,num_of_doors_num,Nominal,BinaryEncoder,0.0
47,car,num_of_doors_num,Nominal,HashingEncoder,0.0
48,car,body_style,Nominal,OneHotEncoder,0.012195121951219513
